COURSE_ID, COURSE_NAME, COURSE_DESCRIPTION
1, 'Introduction to Programming', 'This is the 1 course in the university'
2, 'Introduction to Programming Logic', 'This is the 2 course in the university'
3, 'Object-oriented programming', 'This is the 3 course in the university'
4, 'Dynamic programming', 'This is the 4 course in the university'
5, 'Algorithms', 'This is the 5 course in the university'
6, 'Programming Languages', 'This is the 6 course in the university'
7, 'Theory of programming languages', 'This is the 7 course in the university'
8, 'Compilers and language theory', 'This is the 8 course in the university'
9, 'DirectX', 'This is the 9 course in the university'
10, 'OpenGL', 'This is the 10 course in the university'
11, 'Shell Scripting', 'This is the 11 course in the university'
12, 'Python', 'This is the 12 course in the university'
13, 'libavg', 'This is the 13 course in the university'
14, 'pyOpenGL', 'This is the 14 course in the university'
15, 'JavaScript', 'This is the 15 course in the university'
16, 'jQuery', 'This is the 16 course in the university'
17, 'PHP', 'This is the 17 course in the university'
18, 'Ruby', 'This is the 18 course in the university'
19, 'Java', 'This is the 19 course in the university'
20, 'Introduction to Programming in Java', 'This is the 20 course in the university'
21, 'Java tutorial', 'This is the 21 course in the university'
22, 'Web programming, an example', 'This is the 22 course in the university'
23, 'C', 'This is the 23 course in the university'
24, 'Objective-C', 'This is the 24 course in the university'
25, 'C++, .NET', 'This is the 25 course in the university'
26, 'Assembly', 'This is the 26 course in the university'
27, 'VHDL', 'This is the 27 course in the university'
28, 'Software/Application engineering', 'This is the 28 course in the university'
29, 'Software project management', 'This is the 29 course in the university'
30, 'Databases', 'This is the 30 course in the university'
31, 'Modelling', 'This is the 31 course in the university'
32, 'User interfaces', 'This is the 32 course in the university'
33, 'Software testing', 'This is the 33 course in the university'
34, 'Software quality assurance test', 'This is the 34 course in the university'
35, 'Service Oriented Architecture', 'This is the 35 course in the university'
36, 'Computer Graphics Programming', 'This is the 36 course in the university'
37, 'undefined', 'This is the 37 course in the university'
38, 'Networking', 'This is the 38 course in the university'
39, 'Wireless systems', 'This is the 39 course in the university'
40, 'Information security', 'This is the 40 course in the university'
41, 'Cryptography', 'This is the 41 course in the university'
42, 'Client/Server and other types of communication', 'This is the 42 course in the university'
43, 'Server administration', 'This is the 43 course in the university'
44, 'Data Management', 'This is the 44 course in the university'
45, 'Server content : Files and Databases', 'This is the 45 course in the university'
46, 'Anlytics and specifications', 'This is the 46 course in the university'
47, 'Deep learning basics', 'This is the 47 course in the university'
48, 'Virtual and augmented reality', 'This is the 48 course in the university'
49, 'Writing bachelors basics', 'This is the 49 course in the university'
50, 'Computer phylosophy', 'This is the 50 course in the university'
51, 'Preventive and clinical nutrition', 'This is the 51 course in the university'
52, 'Sports nutrition', 'This is the 52 course in the university'
53, 'Basic Mathematics for Health Economists', 'This is the 53 course in the university'
54, 'Fundamentals of Health Economics', 'This is the 54 course in the university'
55, 'Demand for health and health insurance', 'This is the 55 course in the university'
56, 'Paying Providers of Health Care', 'This is the 56 course in the university'
57, 'Optimal regulation', 'This is the 57 course in the university'
58, 'Cost and efficiency analyses of health care providers', 'This is the 58 course in the university'
59, 'Need analyses, risk adjustments and formula funding', 'This is the 59 course in the university'
60, 'Health Literacy', 'This is the 60 course in the university'
61, 'Introduction to Qualitative Methods', 'This is the 61 course in the university'
62, 'Medical and Health Related Research Ethics', 'This is the 62 course in the university'
63, 'Introduction to medical anthropology', 'This is the 63 course in the university'
64, 'Medical history: sources, methods and historiographic questions', 'This is the 64 course in the university'
65, 'Register-based epidemiology', 'This is the 65 course in the university'
66, 'Reproductive and sexual health and rights in global health', 'This is the 66 course in the university'
67, 'Fundamentals of economic evaluation in health care', 'This is the 67 course in the university'
68, 'Valuing Health', 'This is the 68 course in the university'
69, 'Modeling in economic evaluation I', 'This is the 69 course in the university'
70, 'Modeling in economic evaluation II', 'This is the 70 course in the university'
71, 'Topics in Health Policy', 'This is the 71 course in the university'
