STUDENT_ID, PERSON_ID, SEMESTER
1, 1, 3
2, 2, 9
3, 3, 12
4, 4, 6
5, 5, 1
6, 6, 7
7, 7, 12
8, 8, 5
9, 9, 11
10, 10, 4
11, 11, 7
12, 12, 5
13, 13, 12
14, 14, 8
15, 15, 4
16, 16, 10
17, 17, 10
18, 18, 6
19, 19, 2
20, 20, 10
21, 21, 9
22, 22, 6
23, 23, 4
24, 24, 4
25, 25, 10
26, 26, 5
27, 27, 9
28, 28, 2
29, 29, 8
30, 30, 12
31, 31, 5
32, 32, 8
33, 33, 7
34, 34, 5
35, 35, 9
36, 36, 11
37, 37, 7
38, 38, 9
39, 39, 3
40, 40, 3
41, 41, 12
42, 42, 6
43, 43, 10
44, 44, 7
45, 45, 2
46, 46, 1
47, 47, 4
48, 48, 1
49, 49, 6
50, 50, 9
51, 51, 5
52, 52, 1
53, 53, 4
54, 54, 12
55, 55, 4
56, 56, 9
57, 57, 7
58, 58, 10
59, 59, 10
60, 60, 3
61, 61, 12
62, 62, 7
63, 63, 3
64, 64, 9
65, 65, 3
66, 66, 7
67, 67, 1
68, 68, 1
69, 69, 11
70, 70, 5
71, 71, 1
72, 72, 12
73, 73, 10
74, 74, 9
75, 75, 12
76, 76, 5
77, 77, 9
78, 78, 6
79, 79, 1
80, 80, 11
81, 81, 8
82, 82, 1
83, 83, 5
84, 84, 11
85, 85, 11
86, 86, 9
87, 87, 7
88, 88, 8
89, 89, 7
90, 90, 7
91, 91, 1
92, 92, 5
93, 93, 3
94, 94, 3
95, 95, 5
96, 96, 10
97, 97, 1
98, 98, 10
99, 99, 11
100, 100, 6
101, 101, 1
102, 102, 8
103, 103, 3
104, 104, 10
105, 105, 5
106, 106, 3
107, 107, 7
108, 108, 2
109, 109, 9
110, 110, 2
111, 111, 10
112, 112, 8
113, 113, 11
114, 114, 12
115, 115, 6
116, 116, 2
117, 117, 2
118, 118, 7
119, 119, 8
120, 120, 7
121, 121, 7
122, 122, 6
123, 123, 5
124, 124, 3
125, 125, 1
126, 126, 10
127, 127, 6
128, 128, 10
129, 129, 12
130, 130, 7
131, 131, 2
132, 132, 7
133, 133, 1
134, 134, 7
135, 135, 3
136, 136, 4
137, 137, 12
138, 138, 9
139, 139, 12
140, 140, 6
141, 141, 5
142, 142, 5
143, 143, 8
144, 144, 9
145, 145, 7
146, 146, 5
147, 147, 12
148, 148, 6
149, 149, 11
150, 150, 1
151, 151, 8
152, 152, 9
153, 153, 3
154, 154, 1
155, 155, 2
156, 156, 10
157, 157, 6
158, 158, 3
159, 159, 4
160, 160, 5
161, 161, 6
162, 162, 8
163, 163, 6
164, 164, 8
165, 165, 2
166, 166, 1
167, 167, 1
168, 168, 3
169, 169, 5
170, 170, 11
171, 171, 11
172, 172, 10
173, 173, 2
174, 174, 4
175, 175, 7
176, 176, 1
177, 177, 5
178, 178, 3
179, 179, 7
180, 180, 6
181, 181, 9
182, 182, 8
183, 183, 8
184, 184, 1
185, 185, 7
186, 186, 11
187, 187, 9
188, 188, 10
189, 189, 8
